feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,feat_63,feat_64,feat_65,feat_66,feat_67,feat_68,feat_69,feat_70,feat_71,feat_72,feat_73,feat_74,feat_75,feat_76,feat_77,feat_78,feat_79,feat_80,feat_81,feat_82,feat_83,feat_84,feat_85,feat_86,feat_87,feat_88,feat_89,feat_90,feat_91,feat_92,feat_93,feat_94,feat_95,feat_96,feat_97,feat_98,feat_99,feat_100
-2.2793136,1.1786642,0.57432896,-1.169564,-0.7203475,-1.5453495,-0.5097456,0.06962891,-0.6074923,1.5113422,-1.7404509,-1.4884149,-1.0674008,0.66946566,-2.5948732,1.209099,-0.79294103,-1.5673413,-2.2815638,-2.9307277,1.0670867,-3.2974303,-1.2268976,-1.5679053,-1.3166401,-1.2244533,-1.2187102,-0.7367545,-1.1441989,1.1061966,-2.068433,-0.8558044,1.8550453,2.0044641,-1.7033367,-2.0268784,-2.6786253,-2.1073685,-0.5495161,-2.441553,-2.3139071,0.41060278,-1.544791,0.5641838,0.26294714,-2.6502457,-4.2715907,-1.9795207,-1.3965994,2.6630626,4.3727055,-2.1144795,-1.4558189,-1.0340556,-1.2777933,-1.5541351,-3.1058517,-1.5530813,-2.0709102,-1.0848864,-2.2597585,-0.46326882,-1.0013989,-2.2669086,-1.3304178,-3.053569,-1.0084592,-2.1262996,2.0472941,-1.7532781,-1.0995878,-1.2740444,0.4323678,-1.3093909,-1.3942548,0.4369444,-2.1436117,-1.4233115,1.6624668,-0.9797115,-1.1240071,-1.6748717,-0.21379809,0.73488736,1.5029439,-2.305988,-1.0372095,-1.2640339,1.2609549,-2.744136,0.49045727,0.7328839,-1.2509456,-0.24212283,0.30050212,-0.94048876,-2.9393291,-2.2532973,-2.3678076,0.6505234
-2.284362,0.8309851,1.1498053,-1.2236058,-0.7948571,-1.3583217,-0.23322366,0.44754463,-0.2990492,2.1154528,-1.4542369,-1.973732,-1.15777,0.52597266,-2.4016502,1.2537688,-1.1465467,-1.5417619,-2.4040868,-2.884938,1.2289611,-3.1178672,-1.1975182,-2.0395684,-1.1243324,-1.0299788,-1.3139292,-1.1191484,-0.7281592,1.4539751,-1.7401818,-0.7809161,2.6755455,2.058249,-1.8797886,-2.3314385,-2.6423452,-2.3267438,-0.83568966,-2.5248272,-2.434468,0.9509482,-1.9600791,0.72374773,0.56860286,-2.6607566,-4.5013504,-1.7936667,-1.2148163,2.6596842,5.1103315,-2.1960626,-1.9440295,-1.3624107,-1.1204181,-1.5118287,-3.431466,-1.4232864,-2.1836123,-0.67757434,-2.3996377,-0.15740754,-0.7849164,-2.3911986,-0.9222278,-3.6406794,-0.91513187,-2.0096097,1.9006226,-1.991552,-0.8967693,-1.1570429,0.6671914,-1.1048418,-1.6817076,-0.03060211,-2.1723692,-0.6835573,1.3686852,-1.0008337,-0.99629784,-1.5024319,-0.17004643,0.6140543,1.9546051,-2.0274444,-1.0657867,-1.1189479,1.1045026,-2.997967,-0.09400609,0.09693016,-0.8890439,-0.38807392,0.12649594,-1.1330838,-2.8468757,-2.1976826,-2.5829601,0.46917456
-1.342703,1.2013617,0.89046663,-1.0238438,-0.89883506,0.16977285,-0.7895334,-0.10384371,-0.5906055,0.89695925,-1.6815706,-0.45026082,-0.87025833,0.99038726,-1.7272542,0.79960173,0.12793455,-0.67068255,-1.5172093,-1.1820484,0.081802435,-1.7151669,-0.014822986,-0.08071861,-0.68738896,-0.81580603,-0.7880849,0.15250407,-0.1867213,0.5798629,-1.9745865,0.5332524,0.9323783,1.151444,-0.030330658,-1.4320842,-0.8776574,-0.88529044,0.30919176,-0.70826,-0.8212226,-0.1250349,-1.7364866,0.86603856,-0.16482374,-1.450228,-1.53634,-1.0674621,-0.8529371,1.6874859,2.4891803,-1.1519305,-1.188795,-0.45313287,-1.2296586,-0.64861125,-0.87526274,-0.41103342,-1.7679065,0.45669162,-0.86166817,-0.7832252,-1.1770276,-1.8668649,-0.8866794,-1.1823273,-1.1873099,-0.49689648,1.9494278,-1.292369,-1.0430255,-1.6596764,-0.007051817,-0.99367625,-0.9871101,-0.36327654,-0.75258255,-0.13773704,1.1964544,-0.72138697,-0.2531294,-1.0162666,-0.38450593,0.18827182,1.0596702,-0.029295653,-0.34250456,-1.050296,0.8775409,-0.9730473,-0.5292007,0.46462283,-0.40527585,0.01722699,0.26093075,-1.0197166,-1.3389413,-2.184509,-0.95467347,0.19137456
-2.2626235,2.2330089,-0.23988716,-1.7766817,-1.2088134,-0.80301523,-2.0979428,-1.2109799,-1.9496613,-0.5994178,-2.8447306,-0.5856693,-2.2428327,1.3877133,-2.5404212,1.5905405,0.7129308,-1.6492417,-1.4896955,-2.3324308,-0.51564544,-2.7699258,-0.99523014,1.0781761,-1.3023641,-1.9739918,-0.89932483,1.0594758,-1.8234512,-1.0437981,-3.2515368,0.25598487,-0.56327,1.6983366,-0.81950885,-1.4100207,-2.1017263,-1.4258058,1.2712562,-1.9094492,-1.185632,-1.6567363,-2.131799,1.642938,-1.1405962,-2.4720583,-1.9438297,-2.9878886,-2.8012733,1.7718186,2.628466,-0.8789644,-0.22443241,0.19494227,-1.891839,-1.3812889,-0.64013296,-0.9750238,-2.262811,-1.8048435,-2.1045334,-2.376724,-2.4058921,-2.1165771,-2.173254,-0.8687101,-2.2346566,-1.0156786,2.9419193,-1.2848533,-2.3136086,-2.9720721,-1.6420397,-3.4852169,-0.6768212,0.05216633,-2.01901,-1.4673992,2.3180926,-1.2977226,-0.34608263,-3.2750614,-1.3543317,1.4879956,-0.6521977,-0.8489939,-1.2940822,-2.0373218,1.6204568,-1.3662243,1.06882,2.0450737,-0.92526,0.39762822,1.7096142,-1.091027,-2.2549896,-2.6393638,-2.0375288,0.7226043
-2.130725,0.8196446,3.103212,-2.296316,-1.7447526,0.44768944,0.79002494,1.403089,0.059782267,4.138971,-1.353188,-2.6693418,-1.0300895,1.3651165,-2.7350304,2.6226583,-1.4813045,-1.8584847,-4.2389174,-2.5966718,1.5164626,-3.409746,-0.48861513,-2.5874894,-1.6644228,-1.6080046,-1.9001896,-1.8986005,0.7597551,2.2423654,-2.0329986,0.97791684,4.852636,2.9483206,-0.44593832,-3.671835,-1.7716426,-2.0929196,0.18097664,-1.5091959,-2.2242224,1.2564539,-3.1082644,1.6410984,1.3597041,-2.942873,-4.3288198,-1.4314344,0.6021031,3.9380155,7.219984,-2.8501372,-4.1008067,-3.0159564,-2.6702414,-2.2628067,-3.4429007,-0.51668245,-3.7604496,2.9409192,-1.4588683,-0.16402206,-0.674239,-3.7842798,0.64885885,-5.17226,-1.9545248,-0.6887987,1.8749208,-3.4217854,0.060284723,-2.8667672,1.5439118,0.002782343,-3.027119,-0.34460944,-1.6655928,2.3883107,1.4697946,-1.2782228,-1.0587186,-0.6239997,-0.42107385,-0.25436625,4.1237154,0.38382187,-0.851291,-1.0591962,0.7667537,-3.5116596,-2.7541075,-1.1396825,0.02971649,-0.50723124,-0.40070033,-2.8413596,-2.121911,-3.7462742,-2.2257175,0.73702323
-1.8761482,1.9566995,0.39946818,-1.6338899,-1.4949334,-0.49463415,-1.5760677,-0.6945875,-1.8308529,-0.5106278,-2.2120984,-0.35106975,-1.9092339,1.101621,-2.1074564,1.0521587,0.5142546,-1.1386642,-1.6247344,-1.9248995,-0.7015635,-2.6037009,-0.6367339,0.8795394,-1.5411432,-1.587493,-0.74342114,0.92133105,-1.3144068,-0.49739948,-2.977239,0.84253186,-0.18214977,1.3475848,-0.83716005,-1.3077506,-1.5790752,-1.448081,1.1578557,-1.4721104,-1.0845494,-1.0801005,-2.3015728,1.1896008,-0.7734219,-1.9778963,-1.80864,-2.4373584,-2.3790746,1.4238694,2.5333896,-0.96133953,-0.6937488,-0.17261364,-1.5882487,-0.80797565,-0.72211957,-0.58922523,-2.37838,-1.6234597,-1.2760595,-1.9500002,-1.862736,-1.6828916,-1.6612536,-0.9958139,-1.9241432,-0.98442745,2.3339221,-1.3521634,-2.0341027,-2.5611727,-1.3269008,-2.9091346,-0.9311151,-0.5597548,-1.3671468,-1.0264672,1.9578701,-1.0620624,-0.20995824,-2.5111983,-0.85722816,1.0212709,-0.23892435,-0.15856196,-0.7940715,-1.7786647,1.2418716,-1.2395597,0.73598677,1.3172139,-0.9670368,0.3676157,1.1337314,-1.0236181,-1.7661006,-2.451386,-1.9487255,0.39763016
-15.521065,10.773518,-2.1967533,-14.211362,-16.798124,-5.263038,-13.404671,-11.252996,-9.7092285,-5.8788843,-19.227108,-9.815558,-12.715385,13.3063135,-14.842699,15.831761,8.092879,-12.543384,-15.746272,-14.610782,-4.714179,-19.61098,-7.667291,4.952374,-10.008001,-14.160909,-14.277304,5.4331217,-14.8529825,-8.950494,-17.576172,13.244526,-5.476738,15.897124,-4.6832175,-17.853954,-16.337545,-13.287912,9.067388,-8.984675,-14.129317,-5.7536745,-14.171659,10.3476925,-7.7055163,-19.403578,-2.940574,-12.287499,-7.554993,13.264471,12.714919,-15.400028,4.6709576,-9.231617,-17.223406,-12.281511,-5.5984044,8.125204,-15.691248,-6.0849495,-11.972221,-15.334679,-11.412261,-20.071795,-10.1972685,0.579862,-10.609805,7.1078506,12.857266,-16.67429,-16.285194,-17.446451,-10.92336,-18.758186,-13.865592,6.312486,-9.02529,4.864011,8.597086,-11.513712,4.912562,-21.170069,-11.666712,14.908946,-4.0209446,-5.5605965,-14.729266,-19.622477,10.85867,-0.9994162,7.373772,10.098169,-12.893778,11.715179,12.337814,-11.981235,-14.391305,-15.768904,-15.947701,10.130734
-1.5268574,0.70700073,1.0553414,-0.90466887,-0.63200164,-0.4076509,-0.14884335,0.35975486,-0.3754953,1.7761037,-1.2579573,-1.223224,-0.8326447,0.55434054,-1.5756687,0.8979976,-0.70026416,-0.9557103,-2.1606038,-1.5141306,0.5456605,-2.2964246,-0.64818895,-1.1905979,-0.9977439,-0.74101675,-0.79513925,-0.8370321,-0.03525403,1.3541598,-1.4716582,-0.011949555,2.131234,1.4988679,-0.8844345,-1.9276114,-1.4546329,-1.209377,-0.5658444,-1.4157606,-1.8032964,0.47463745,-1.9514977,0.8870325,0.550008,-1.5744197,-3.0789578,-1.182662,-0.80056685,2.310846,3.7693484,-1.5741538,-1.737421,-1.0452644,-1.0323323,-0.8986778,-2.3374863,-0.82628137,-1.6933074,0.104159646,-1.3972322,-0.39723423,-0.6233778,-2.1327667,-0.531799,-2.5127082,-1.1165694,-1.2284744,1.8037382,-1.335869,-0.67218006,-1.3060838,0.5387979,-0.90658885,-1.471481,-0.603834,-1.0656995,-0.25220463,1.0858443,-0.6729446,-0.6215334,-0.71084183,0.011509487,0.08174698,1.8194528,-0.6256475,-0.23804505,-1.0568479,0.4810828,-1.9328458,-1.0245197,-0.17886737,-0.6852674,-0.3427735,-0.13357826,-0.9446096,-1.581179,-1.9239829,-1.4024887,0.23592693
-2.20416,1.6035303,-0.052095868,-0.9139247,-0.6665648,-1.0677947,-0.97333306,-0.42503774,-0.69753385,0.48841453,-2.240217,-0.51989764,-1.1372386,0.83319134,-2.669886,1.0937828,0.08601847,-0.974248,-1.3260527,-2.4211075,0.45812106,-2.4117932,-0.6155341,-0.043530017,-0.780466,-1.0694807,-0.9841588,0.28956524,-1.0528228,-0.18368427,-2.1991842,-0.60797465,0.5433308,1.5804046,-0.7516359,-1.778801,-2.204291,-1.372995,0.23383258,-1.5930262,-0.8620679,-0.89523005,-1.0949998,0.5853406,-0.41814396,-1.7988888,-2.5442057,-1.674864,-2.0219882,2.010006,2.8798497,-0.9254033,-0.6821376,0.02385406,-1.6258936,-1.5386698,-1.4161341,-1.4741333,-1.4892184,-0.6224238,-1.7662791,-1.2431332,-1.7881275,-1.9509671,-1.3859683,-1.5989692,-1.3130096,-1.3990828,2.1824653,-1.4975042,-1.3422797,-1.8784078,-0.5030784,-1.5049592,-0.88572574,0.52030545,-1.7479364,-1.5729792,1.3614012,-0.9635896,-0.5887847,-1.9899288,-0.8906579,0.7776134,0.7445244,-1.2802075,-0.9561081,-1.2537392,1.2211888,-1.4637107,0.658464,1.209362,-0.54599595,0.045814868,0.8738009,-0.7839845,-2.4173222,-2.440305,-1.4049782,0.24324968
-2.5936344,0.8377515,1.8194656,-1.5289307,-1.0154455,-1.629299,0.090424515,0.8722253,-0.38364065,2.783358,-1.3898021,-2.530617,-1.2784628,0.5197855,-2.4727435,1.5697457,-1.7726396,-1.893508,-3.1214912,-3.3950448,1.2397393,-3.5572808,-1.3625445,-2.7121105,-1.6059259,-1.1333592,-1.3771489,-1.8862432,-0.73377967,2.2032526,-1.9620218,-0.8815887,3.7705123,2.420068,-2.2692192,-2.7795863,-2.7757602,-2.7147577,-1.049102,-2.8865135,-3.022341,1.286478,-2.5077083,0.94227767,0.8828519,-3.0986266,-5.4735518,-2.0559077,-0.9492171,3.294775,6.42162,-2.637274,-2.6350403,-1.9887967,-1.3044097,-1.828374,-4.2844334,-1.4153244,-2.985307,-0.4542905,-2.6451063,-0.032930963,-0.64086944,-2.8213344,-0.7561705,-4.626098,-1.254258,-2.4948168,1.9362179,-2.4096606,-0.5569664,-1.1464905,0.93895245,-0.7598394,-2.1937504,-0.18363635,-2.5365465,-0.74620116,1.5589192,-1.0572668,-1.4722548,-1.5892594,-0.02327504,0.36938795,2.7845404,-2.1008193,-0.9637673,-1.011835,1.1043729,-4.1538696,-0.6034094,-0.20750283,-1.016568,-0.6248442,-0.16733599,-1.5452752,-3.1308858,-2.5680053,-3.2581472,0.6724626
